codigo,titulo,gama,vendas,margem_bruta,carrinho_medio,numero_clientes
92197980,Cond Split Inv New 12k Q/f 220v,B,103397,15.7,1782.70,58
91697536,Ar Cond Split Conv 12k Btus Q/f Tcl,B,99382,8.9,7098.69,14
91094843,Aquecedor Parede 1500w Brc 127v Equation,B,92842,12.0,403.66,230
92219953,Cond Split Inv Gtop wf 9k Q/f 220v Gree,A,90773,8.1,1852.50,49
92117214,Split Inverter t Pro 18k Q/f Tcl,B,82779,24.8,6898.21,12
91915635,Luminaria Emergência 30leds Super Slim,A,67737,10.5,26.55,2551
89082063,"Prot Elétric 5tom 0,85m C/fusível Lexman",A,59320,33.1,38.36,1546
92197973,Evap Split Inv New 12k Q/f 220v,B,55344,14.0,954.20,58
92219946,Evap Split Inv Gtop wf 9k Q/f 220v Gree,A,48555,7.7,990.91,49
91094850,Aquecedor Parede 2000w Brc 220v Equation,B,42723,11.9,399.28,107
90538945,Aquec óleo 1500w br E pr 127v - Equatio,C,42679,12.3,526.90,81
92198134,Evap Split Inv Conect New 12k Q/f 220v,B,41341,11.4,1797.42,23
92198141,Cond Split Inv Conect New 12k Q/f 220v,B,41341,12.3,1797.42,23
86839683,"Cabo Flexivel 2,5mm2 100m vm Sil",A,38768,8.2,214.18,181
92184554,Cond Split Inv Eco ll Wifi 9k Q/f 220v,B,37700,4.1,1300.01,29
91949060,Split hi Wall Inv 12k fr Semp Tcl,B,37250,13.7,2328.09,16
92197966,Cond Split Inv New 9k Q/f 220v,B,34210,13.5,1710.49,20
92249703,Cond G-classic b 18k Q/f 220v Gree,A,33600,10.9,2800.00,12
89907622,Aquecedor Torre 1500w br 127v Equation,B,33020,2.1,673.86,49
92184575,Cond Split Inv Eco ll Wifi 12k Q/f 220v,B,32150,3.8,1397.80,23
92220156,Cond Split On/off Gtop 9k Q/f 220v Gree,A,32116,9.4,1605.82,20
91707035,Pilha Alcalina Aaa 8un Duracell,A,31832,22.5,50.68,628
92117221,Split Inverter t Pro 24k Q/f Tcl,B,29844,9.9,5968.80,5
91949053,Split hi Wall Inv 9k fr Semp Tcl,B,29286,14.5,2091.85,14
92198113,Evap Split Inv Conect New 9k Q/f 220v,B,28983,10.0,1380.12,21
92060836,Proj Kit Fotovoltaico Intelbras,B,27216,2.6,13607.99,2
92145081,Cond Air Inv Connect 12k fr 220v Midea,B,26660,12.7,1666.28,16
86839655,"Cabo Flexivel 2,5mm2 100m az Sil",A,26450,7.8,236.16,112
92184540,Evap Split Inv Eco ll Wifi 9k Q/f 220v,B,26205,6.9,903.61,29
89907636,*Aquecedor Torre 2500w br 220v Equation,C,25845,-6.4,516.89,50
92184610,Cond Split Inv Eco ll Wifi 24k Q/f 220v,B,25497,5.7,2549.67,10
86839641,"Cabo Flexivel 2,5mm2 100m pt Sil",A,25481,9.1,210.58,121
90851705,Aquec óleo Tampa 1500w br 220v Equation,C,25251,12.5,459.11,55
92184596,Cond Split Inv Eco ll Wifi 18k Q/f 220v,B,24585,4.5,2235.04,11
92220170,Cond Split On/off Gtop 12k Q/f 220v Gree,A,23920,10.1,1708.57,14
91707021,Pilha Alcalina aa 8un Duracell,A,23697,22.9,50.63,468
92198120,Cond Split Inv Conect New 9k Q/f 220v,B,23679,9.6,1127.57,21
89281521,Conj 2 Tom 2p+t 10a 250v 4x2 br Stella,A,23660,28.7,42.78,553
86839795,"Cabo Flexivel 10,0mm2 100m pt Sil",A,23452,9.6,868.59,27
91949123,Split hi Wall Inv 24k Q/f Semp Tcl,B,23295,12.4,4659.00,5
92180732,Vent Mesa Xtreme 7 Force 40cm Pto 127v,A,22527,13.3,296.41,76
90991026,Ar Cond Split 18k fr Tcl,B,22392,8.2,11196.00,2
91707553,*Sup tv Articulado 23 A60  Pto Sbrp 3004,A,22280,28.1,144.67,154
92219974,Cond Split Inv Gtop wf 12k Q/f 220v Gree,A,21760,9.6,1813.33,12
92184561,Evap Split Inv Eco ll Wifi 12k Q/f 220v,B,21309,3.6,926.48,23
